matchup,player,stat,line,tc_projection,direction,actual,hit,mae,bias,edge
COL@SF,Willy Adames,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
COL@SF,Jung Hoo Lee,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
COL@SF,TJ Rumfield,total_bases,3.5,1.5,UNDER,0,True,1.50,+1.50,-2.00
COL@SF,Luis Arraez,total_bases,3.5,1.6,UNDER,0,True,1.60,+1.60,-1.90
COL@SF,Casey Schmitt,total_bases,3.5,1.6,UNDER,0,True,1.60,+1.60,-1.90
COL@SF,Bryce Eldridge,total_bases,3.5,1.8,UNDER,0,True,1.80,+1.80,-1.70
COL@SF,Hunter Goodman,total_bases,3.5,1.9,UNDER,0,True,1.90,+1.90,-1.60
COL@SF,Ezequiel Tovar,hits,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
COL@SF,Willy Adames,hits,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
COL@SF,Brett Sullivan,hits,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
COL@SF,Brett Sullivan,rbi,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
COL@SF,Brett Sullivan,runs,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
COL@SF,Hunter Goodman,runs,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
COL@SF,TJ Rumfield,runs,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
COL@SF,Hunter Goodman,rbi,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
COL@SF,TJ Rumfield,rbi,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
COL@SF,Luis Arraez,runs,1.2,0.7,UNDER,1,True,0.30,-0.30,-0.50
COL@SF,Drew Gilbert,runs,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
COL@SF,Bryce Eldridge,rbi,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
COL@SF,Troy Johnston,rbi,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
COL@SF,Kyle Karros,runs,1.2,0.8,FLAT,1,True,0.20,-0.20,-0.40
COL@SF,Luis Arraez,rbi,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
COL@SF,Kyle Freeland,hits_allowed,15.3,14.952380952380953,FLAT,6,True,8.95,+8.95,-0.35
COL@SF,Hunter Goodman,hits,1.2,1,FLAT,1,True,0.00,+0.00,-0.20
COL@SF,Troy Johnston,hits,1.2,1,FLAT,0,True,1.00,+1.00,-0.20
COL@SF,Bryce Eldridge,hits,1.2,1.4,FLAT,1,True,0.40,+0.40,+0.20
COL@SF,Kyle Freeland,earned_runs,8.2,8.038095238095236,FLAT,4,True,4.04,+4.04,-0.16
COL@SF,TJ Rumfield,hits,1.2,1.1,FLAT,0,True,1.10,+1.10,-0.10
COL@SF,Kyle Karros,hits,1.2,1.1,FLAT,1,True,0.10,+0.10,-0.10
MIL@PIT,Christian Yelich,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
MIL@PIT,Jake Bauers,total_bases,3.5,1.5,UNDER,0,True,1.50,+1.50,-2.00
MIL@PIT,Bryan Reynolds,hits,3.5,1.5,UNDER,0,True,1.50,+1.50,-2.00
MIL@PIT,Brice Turang,total_bases,3.5,1.6,UNDER,0,True,1.60,+1.60,-1.90
MIL@PIT,Bryan Reynolds,total_bases,3.5,1.6,UNDER,0,True,1.60,+1.60,-1.90
MIL@PIT,Ryan O'Hearn,total_bases,3.5,1.7,UNDER,0,True,1.70,+1.70,-1.80
MIL@PIT,Brandon Lowe,total_bases,3.5,1.8,UNDER,0,True,1.80,+1.80,-1.70
MIL@PIT,Tyler Callihan,total_bases,3.5,1.9,UNDER,0,True,1.90,+1.90,-1.60
MIL@PIT,Christian Yelich,rbi,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
MIL@PIT,Joey Ortiz,hits,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
MIL@PIT,Jake Bauers,hits,1.2,0.5,UNDER,1,True,0.50,-0.50,-0.70
MIL@PIT,Jake Bauers,rbi,1.2,0.5,UNDER,2,False,1.50,-1.50,-0.70
MIL@PIT,Sal Frelick,hits,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
MIL@PIT,Jackson Chourio,runs,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
MIL@PIT,Garrett Mitchell,runs,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
MIL@PIT,William Contreras,runs,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
MIL@PIT,Cooper Pratt,rbi,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
MIL@PIT,Brandon Lowe,hits,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
MIL@PIT,Brandon Lowe,runs,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
MIL@PIT,Christian Yelich,runs,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
MIL@PIT,Jared Triolo,hits,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
MIL@PIT,Bryan Reynolds,runs,1.2,0.7,UNDER,1,True,0.30,-0.30,-0.50
MIL@PIT,Brandon Lowe,rbi,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
MIL@PIT,Tyler Callihan,hits,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
MIL@PIT,Garrett Mitchell,hits,1.2,0.8,FLAT,1,True,0.20,-0.20,-0.40
MIL@PIT,Cooper Pratt,hits,1.2,0.8,FLAT,2,False,1.20,-1.20,-0.40
MIL@PIT,Bryan Reynolds,rbi,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
MIL@PIT,Ryan O'Hearn,rbi,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
MIL@PIT,Brandon Sproat,earned_runs,5.9,5.771428571428572,FLAT,2,True,3.77,+3.77,-0.13
MIL@PIT,Jackson Chourio,rbi,1.2,1.1,FLAT,0,True,1.10,+1.10,-0.10
LAA@MIN,Vaughn Grissom,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
LAA@MIN,Jo Adell,total_bases,3.5,1.5,UNDER,0,True,1.50,+1.50,-2.00
LAA@MIN,Mike Trout,total_bases,3.5,1.6,UNDER,0,True,1.60,+1.60,-1.90
LAA@MIN,Zach Neto,total_bases,3.5,1.7,UNDER,0,True,1.70,+1.70,-1.80
LAA@MIN,Josh Bell,runs,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
LAA@MIN,Victor Caratini,runs,1.2,0.5,UNDER,2,False,1.50,-1.50,-0.70
LAA@MIN,Brooks Lee,rbi,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
LAA@MIN,Mike Trout,rbi,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
LAA@MIN,Mike Trout,runs,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
LAA@MIN,Denzer Guzman,rbi,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
LAA@MIN,Zach Neto,runs,1.2,0.6,UNDER,2,False,1.40,-1.40,-0.60
LAA@MIN,Royce Lewis,runs,1.2,0.6,UNDER,2,False,1.40,-1.40,-0.60
LAA@MIN,Trevor Larnach,rbi,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
LAA@MIN,Trevor Larnach,runs,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
LAA@MIN,Kody Clemens,runs,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
LAA@MIN,Royce Lewis,rbi,1.2,0.7,UNDER,2,False,1.30,-1.30,-0.50
LAA@MIN,Jo Adell,runs,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
LAA@MIN,Zach Neto,hits,1.2,0.8,FLAT,2,False,1.20,-1.20,-0.40
LAA@MIN,Luke Keaschall,hits,1.2,0.8,FLAT,1,True,0.20,-0.20,-0.40
LAA@MIN,Luke Keaschall,runs,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
LAA@MIN,Kody Clemens,rbi,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
LAA@MIN,Jo Adell,hits,1.2,1.4,FLAT,0,True,1.40,+1.40,+0.20
LAA@MIN,Royce Lewis,hits,1.2,1,FLAT,2,False,1.00,-1.00,-0.20
LAA@MIN,Josh Bell,rbi,1.2,1,FLAT,0,True,1.00,+1.00,-0.20
LAA@MIN,Victor Caratini,hits,1.2,1,FLAT,1,True,0.00,+0.00,-0.20
LAA@MIN,Mike Trout,hits,1.2,1.1,FLAT,2,False,0.90,-0.90,-0.10
LAA@MIN,Denzer Guzman,hits,1.2,1.3,FLAT,1,True,0.30,+0.30,+0.10
LAA@MIN,Logan O'Hoppe,hits,1.2,1.2,FLAT,0,True,1.20,+1.20,+0.00
ATH@CHW,Tyler Soderstrom,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
ATH@CHW,Randal Grichuk,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
ATH@CHW,Colson Montgomery,total_bases,3.5,1.4,UNDER,0,True,1.40,+1.40,-2.10
ATH@CHW,Jonah Heim,total_bases,3.5,1.5,UNDER,0,True,1.50,+1.50,-2.00
ATH@CHW,Braden Montgomery,total_bases,3.5,1.5,UNDER,0,True,1.50,+1.50,-2.00
ATH@CHW,Miguel Vargas,total_bases,3.5,1.6,UNDER,0,True,1.60,+1.60,-1.90
ATH@CHW,Shea Langeliers,total_bases,3.5,1.9,UNDER,0,True,1.90,+1.90,-1.60
ATH@CHW,Carlos Cortes,rbi,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
ATH@CHW,Shea Langeliers,runs,1.2,0.5,UNDER,0,True,0.50,+0.50,-0.70
ATH@CHW,Lawrence Butler,runs,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
ATH@CHW,Jeff McNeil,hits,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
ATH@CHW,Henry Bolte,runs,1.2,0.6,UNDER,0,True,0.60,+0.60,-0.60
ATH@CHW,Chase Meidroth,rbi,1.2,0.6,UNDER,1,True,0.40,-0.40,-0.60
ATH@CHW,Tyler Soderstrom,runs,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
ATH@CHW,Jacob Wilson,rbi,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
ATH@CHW,Colson Montgomery,runs,1.2,0.7,UNDER,1,True,0.30,-0.30,-0.50
ATH@CHW,Miguel Vargas,hits,1.2,0.7,UNDER,0,True,0.70,+0.70,-0.50
ATH@CHW,Jeff McNeil,rbi,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
ATH@CHW,Jeff McNeil,runs,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
ATH@CHW,Colson Montgomery,hits,1.2,0.8,FLAT,0,True,0.80,+0.80,-0.40
ATH@CHW,Lawrence Butler,hits,1.2,1,FLAT,0,True,1.00,+1.00,-0.20
ATH@CHW,Henry Bolte,hits,1.2,1,FLAT,0,True,1.00,+1.00,-0.20
ATH@CHW,Chase Meidroth,hits,1.2,1,FLAT,2,False,1.00,-1.00,-0.20
ATH@CHW,Colson Montgomery,rbi,1.2,1,FLAT,0,True,1.00,+1.00,-0.20
ATH@CHW,Gage Jump,earned_runs,5.9,5.733333333333333,FLAT,1,True,4.73,+4.73,-0.17
ATH@CHW,Jonah Heim,hits,1.2,1.1,FLAT,0,True,1.10,+1.10,-0.10
