matchup,player,stat,line,direction,actual,edge_pct,edge_src,result
JPN @ BRA,Gabriel Magalhães,fouls,1.0,UNDER,0.0,-31.5,edge-under,HIT
JPN @ BRA,Marquinhos,shots,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Douglas Santos,fouls,1.0,UNDER,0.0,-31.5,edge-under,HIT
JPN @ BRA,Roger Ibañez,fouls,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Bruno Guimarães,assists,0.5,OVER,1.0,37.0,edge-over,HIT
JPN @ BRA,Bruno Guimarães,shots,1.0,UNDER,4.0,-31.5,edge-under,MISS
JPN @ BRA,Bruno Guimarães,fouls,1.0,UNDER,0.0,-31.5,edge-under,HIT
JPN @ BRA,Casemiro,fouls,1.0,UNDER,1.0,-31.5,edge-under,MISS
JPN @ BRA,Igor Thiago,shots,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Igor Thiago,fouls,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Vinícius Júnior,goals,0.5,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Vinícius Júnior,shots,1.0,UNDER,3.0,-31.5,edge-under,MISS
JPN @ BRA,Vinícius Júnior,fouls,2.0,OVER,0.0,2.7,edge-over,MISS
JPN @ BRA,Lucas Paquetá,shots,1.0,OVER,2.0,37.0,edge-over,HIT
JPN @ BRA,Lucas Paquetá,fouls,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Fabinho,fouls,2.0,OVER,0.0,2.7,edge-over,MISS
JPN @ BRA,Danilo Santos,shots,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Hiroki Ito,shots,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Hiroki Ito,fouls,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Daichi Kamada,goals,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Daichi Kamada,shots,1.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Keito Nakamura,goals,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Keito Nakamura,shots,3.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Keito Nakamura,fouls,2.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Ritsu Doan,fouls,1.0,OVER,2.0,16.2,edge-over,HIT
JPN @ BRA,Ayase Ueda,shots,1.0,OVER,2.0,16.2,edge-over,HIT
JPN @ BRA,Ayase Ueda,fouls,1.0,OVER,2.0,16.2,edge-over,HIT
JPN @ BRA,Takefusa Kubo,assists,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Takefusa Kubo,shots,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Takefusa Kubo,fouls,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Koki Ogawa,assists,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Koki Ogawa,shots,2.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Yukinari Sugawara,shots,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Takehiro Tomiyasu,fouls,1.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Alex Sandro,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Alex Sandro,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Alisson Becker,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Alisson Becker,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Ao Tanaka,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Ao Tanaka,fouls,1.0,UNDER,1.0,-36.6,edge-under,MISS
JPN @ BRA,Ayumu Seko,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Ayumu Seko,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Bremer,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Bremer,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Daizen Maeda,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Daizen Maeda,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Danilo,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Danilo,fouls,1.0,UNDER,1.0,-19.7,edge-under,MISS
JPN @ BRA,Ederson,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Ederson,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Endrick,shots,1.0,OVER,1.0,0.3,edge-over,MISS
JPN @ BRA,Endrick,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Gabriel Martinelli,shots,1.0,OVER,2.0,0.3,edge-over,HIT
JPN @ BRA,Gabriel Martinelli,fouls,1.0,UNDER,1.0,-19.7,edge-under,MISS
JPN @ BRA,Junnosuke Suzuki,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Junnosuke Suzuki,fouls,1.0,UNDER,2.0,-36.6,edge-under,MISS
JPN @ BRA,Junya Ito,shots,1.0,UNDER,1.0,-20.7,edge-under,MISS
JPN @ BRA,Junya Ito,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Kaishu Sano,shots,1.0,UNDER,1.0,-20.7,edge-under,MISS
JPN @ BRA,Kaishu Sano,fouls,1.0,UNDER,2.0,-36.6,edge-under,MISS
JPN @ BRA,Keisuke Goto,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Keisuke Goto,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Keisuke Osako,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Keisuke Osako,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Kento Shiogai,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Kento Shiogai,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Kou Itakura,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Kou Itakura,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Luiz Henrique,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Luiz Henrique,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Léo Pereira,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Léo Pereira,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Matheus Cunha,shots,1.0,OVER,3.0,0.3,edge-over,HIT
JPN @ BRA,Matheus Cunha,fouls,1.0,UNDER,1.0,-19.7,edge-under,MISS
JPN @ BRA,Rayan,shots,1.0,OVER,1.0,0.3,edge-over,MISS
JPN @ BRA,Rayan,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Shogo Taniguchi,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Shogo Taniguchi,fouls,1.0,UNDER,1.0,-36.6,edge-under,MISS
JPN @ BRA,Shuto Machino,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Shuto Machino,fouls,1.0,UNDER,1.0,-36.6,edge-under,MISS
JPN @ BRA,Tomoki Hayakawa,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Tomoki Hayakawa,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Tsuyoshi Watanabe,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Tsuyoshi Watanabe,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Weverton,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Weverton,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
JPN @ BRA,Yuito Suzuki,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Yuito Suzuki,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Yuto Nagatomo,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Yuto Nagatomo,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Zion Suzuki,shots,1.0,UNDER,0.0,-20.7,edge-under,HIT
JPN @ BRA,Zion Suzuki,fouls,1.0,UNDER,0.0,-36.6,edge-under,HIT
JPN @ BRA,Éderson,shots,1.0,OVER,0.0,0.3,edge-over,MISS
JPN @ BRA,Éderson,fouls,1.0,UNDER,0.0,-19.7,edge-under,HIT
