date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-18,SEA@POR,Awa Fam,starters,OVER,6.0,7.2,18.0,1.2,HIT
2026-06-18,SEA@POR,Flau'jae Johnson,starters,OVER,6.0,7.8,8.0,1.8,HIT
2026-06-18,SEA@POR,Stefanie Dolson,starters,OVER,5.0,6.5,0.0,1.5,MISS
2026-06-18,SEA@POR,Natisha Hiedeman,starters,OVER,5.0,6.4,19.0,1.4,HIT
2026-06-18,SEA@POR,Katie Lou Samuelson,starters,OVER,4.0,5.6,0.0,1.6,MISS
2026-06-18,SEA@POR,Jade Melbourne,bench,OVER,4.0,5.4,6.0,1.4,HIT
2026-06-18,SEA@POR,Dominique Malonga,bench,OVER,5.0,6.7,28.0,1.7,HIT
2026-06-18,SEA@POR,Zia Cooke,bench,OVER,4.0,5.1,7.0,1.1,HIT
2026-06-18,SEA@POR,Mackenzie Holmes,bench,OVER,3.0,4.4,3.0,1.4,MISS
2026-06-18,SEA@POR,Taylor Thierry,bench,OVER,3.0,3.5,0.0,0.5,MISS
2026-06-18,SEA@POR,Bridget Carleton,starters,OVER,5.0,5.7,24.0,0.7,HIT
2026-06-18,SEA@POR,Carla Leite,starters,OVER,5.0,6.8,20.0,1.8,HIT
2026-06-18,SEA@POR,Karlie Samuelson,starters,OVER,4.0,5.3,10.0,1.3,HIT
2026-06-18,SEA@POR,Nyadiew Puoch,starters,OVER,4.0,4.6,2.0,0.6,MISS
2026-06-18,SEA@POR,Sarah Ashlee Barker,bench,OVER,4.0,5.4,12.0,1.4,HIT
2026-06-18,SEA@POR,Emily Engstler,bench,OVER,4.0,5.3,9.0,1.3,HIT
2026-06-18,SEA@POR,Teja Oblak,bench,OVER,5.0,5.9,5.0,0.9,MISS
2026-06-18,SEA@POR,Frieda Buhner,bench,OVER,4.0,5.3,3.0,1.3,MISS
2026-06-18,SEA@POR,Megan Gustafson,bench,OVER,4.0,5.2,8.0,1.2,HIT
2026-06-18,SEA@POR,Serah Williams,bench,OVER,3.0,4.5,1.0,1.5,MISS
2026-06-18,MIN@LA,Olivia Miles,starters,OVER,9.0,10.4,31.0,1.4,HIT
2026-06-18,MIN@LA,Kayla McBride,starters,OVER,7.0,9.0,14.0,2.0,HIT
2026-06-18,MIN@LA,Courtney Williams,starters,OVER,7.0,8.2,13.0,1.2,HIT
2026-06-18,MIN@LA,Natasha Howard,starters,OVER,6.0,7.9,15.0,1.9,HIT
2026-06-18,MIN@LA,Teaira McCowan,starters,OVER,6.0,7.4,2.0,1.4,MISS
2026-06-18,MIN@LA,Nia Coffey,bench,OVER,4.0,5.3,7.0,1.3,HIT
2026-06-18,MIN@LA,Maya Caldwell,bench,OVER,4.0,5.2,7.0,1.2,HIT
2026-06-18,MIN@LA,Antonia Delaere,bench,OVER,3.0,4.4,6.0,1.4,HIT
2026-06-18,MIN@LA,Anastasiia Olairi Kosu,bench,OVER,3.0,4.4,4.0,1.4,HIT
2026-06-18,MIN@LA,Eliska Hamzova,bench,OVER,3.0,4.3,0.0,1.3,MISS
2026-06-18,MIN@LA,Nneka Ogwumike,starters,OVER,8.0,9.9,10.0,1.9,HIT
2026-06-18,MIN@LA,Ariel Atkins,starters,OVER,7.0,8.5,4.0,1.5,MISS
2026-06-18,MIN@LA,Dearica Hamby,starters,OVER,6.0,7.8,12.0,1.8,HIT
2026-06-18,MIN@LA,Erica Wheeler,starters,OVER,5.0,6.8,6.0,1.8,HIT
2026-06-18,MIN@LA,Rae Burrell,starters,OVER,5.0,5.7,19.0,0.7,HIT
2026-06-18,MIN@LA,Kate Martin,bench,OVER,4.0,5.0,0.0,1.0,MISS
2026-06-18,MIN@LA,Emma Cannon,bench,OVER,4.0,5.3,5.0,1.3,HIT
2026-06-18,MIN@LA,Chance Gray,bench,OVER,3.0,4.1,8.0,1.1,HIT
2026-06-18,MIN@LA,Jihyun Park,bench,OVER,3.0,3.6,13.0,0.6,HIT
2026-06-18,MIN@LA,Sania Feagin,bench,OVER,3.0,3.7,0.0,0.7,MISS
2026-06-18,MIN@LA,Ta'Niya Latson,bench,OVER,3.0,3.9,6.0,0.9,HIT
2026-06-18,NY@CHI,Breanna Stewart,starters,OVER,10.0,11.4,17.0,1.4,HIT
2026-06-18,NY@CHI,Sabrina Ionescu,starters,OVER,8.0,9.8,10.0,1.8,HIT
2026-06-18,NY@CHI,Satou Sabally,starters,OVER,8.0,9.4,17.0,1.4,HIT
2026-06-18,NY@CHI,Jonquel Jones,starters,OVER,7.0,8.6,19.0,1.6,HIT
2026-06-18,NY@CHI,Pauline Astier,starters,OVER,6.0,7.8,9.0,1.8,HIT
2026-06-18,NY@CHI,Leonie Fiebich,bench,OVER,5.0,6.3,9.0,1.3,HIT
2026-06-18,NY@CHI,Marine Johannes,bench,OVER,5.0,6.4,3.0,1.4,MISS
2026-06-18,NY@CHI,Rebekah Gardner,bench,OVER,5.0,5.7,10.0,0.7,HIT
2026-06-18,NY@CHI,Han Xu,bench,OVER,4.0,5.6,2.0,1.6,MISS
2026-06-18,NY@CHI,Skylar Diggins,starters,OVER,8.0,9.7,19.0,1.7,HIT
2026-06-18,NY@CHI,Kamilla Cardoso,starters,OVER,7.0,8.0,10.0,1.0,HIT
2026-06-18,NY@CHI,Natasha Cloud,starters,OVER,5.0,6.8,11.0,1.8,HIT
2026-06-18,NY@CHI,Elizabeth Williams,starters,OVER,5.0,6.7,3.0,1.7,MISS
2026-06-18,NY@CHI,Gabriela Jaquez,starters,OVER,6.0,7.2,22.0,1.2,HIT
2026-06-18,NY@CHI,Azura Stevens,bench,OVER,6.0,7.3,6.0,1.3,MISS
2026-06-18,NY@CHI,Jacy Sheldon,bench,OVER,5.0,5.9,0.0,0.9,MISS
2026-06-18,NY@CHI,Rachel Banham,bench,OVER,4.0,5.6,0.0,1.6,MISS
2026-06-18,NY@CHI,Aicha Coulibaly,bench,OVER,4.0,5.3,0.0,1.3,MISS
2026-06-18,NY@CHI,Sydney Taylor,bench,OVER,6.0,7.0,24.0,1.0,HIT
2026-06-18,WSH@CON,Sonia Citron,starters,OVER,8.0,9.3,11.0,1.3,HIT
2026-06-18,WSH@CON,Georgia Amoore,starters,OVER,4.0,5.3,14.0,1.3,HIT
2026-06-18,WSH@CON,Michaela Onyenwere,starters,OVER,5.0,6.1,4.0,1.1,MISS
2026-06-18,WSH@CON,Cotie McMahon,starters,OVER,5.0,5.9,4.0,0.9,MISS
2026-06-18,WSH@CON,Lauren Betts,bench,OVER,5.0,5.9,5.0,0.9,MISS
2026-06-18,WSH@CON,Angela Dugalic,bench,OVER,4.0,5.4,2.0,1.4,MISS
2026-06-18,WSH@CON,Lucy Olsen,bench,OVER,4.0,4.8,0.0,0.8,MISS
2026-06-18,WSH@CON,Brittney Griner,starters,OVER,8.0,9.9,10.0,1.9,HIT
2026-06-18,WSH@CON,Leila Lacan,starters,OVER,6.0,7.4,12.0,1.4,HIT
2026-06-18,WSH@CON,Aaliyah Edwards,starters,OVER,5.0,6.0,6.0,1.0,HIT
2026-06-18,WSH@CON,Charlisse Leger-Walker,bench,OVER,5.0,5.7,10.0,0.7,HIT
2026-06-18,WSH@CON,Diamond Miller,bench,OVER,5.0,6.0,4.0,1.0,MISS
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,OVER,4.0,5.4,12.0,1.4,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,OVER,4.0,5.4,11.0,1.4,HIT
2026-06-18,WSH@CON,Nell Angloma,bench,OVER,4.0,5.2,0.0,1.2,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,OVER,4.0,4.8,3.0,0.8,MISS
2026-06-18,DAL@GS,Arike Ogunbowale,starters,OVER,9.0,11.0,21.0,2.0,HIT
2026-06-18,DAL@GS,Paige Bueckers,starters,OVER,9.0,10.9,15.0,1.9,HIT
2026-06-18,DAL@GS,Azzi Fudd,starters,OVER,7.0,8.4,10.0,1.4,HIT
2026-06-18,DAL@GS,Jessica Shepard,starters,OVER,5.0,6.3,14.0,1.3,HIT
2026-06-18,DAL@GS,Sug Sutton,bench,OVER,5.0,5.7,9.0,0.7,HIT
2026-06-18,DAL@GS,Alanna Smith,bench,OVER,5.0,6.1,5.0,1.1,MISS
2026-06-18,DAL@GS,Maddy Siegrist,bench,OVER,5.0,6.3,1.0,1.3,MISS
2026-06-18,DAL@GS,Aziaha James,bench,OVER,5.0,6.3,2.0,1.3,MISS
2026-06-18,DAL@GS,Awak Kuier,bench,OVER,3.0,4.5,3.0,1.5,MISS
2026-06-18,DAL@GS,Tiffany Hayes,starters,OVER,7.0,8.4,10.0,1.4,HIT
2026-06-18,DAL@GS,Janelle Salaun,starters,OVER,7.0,8.0,12.0,1.0,HIT
2026-06-18,DAL@GS,Gabby Williams,starters,OVER,5.0,6.8,25.0,1.8,HIT
2026-06-18,DAL@GS,Kayla Thornton,starters,OVER,5.0,6.3,8.0,1.3,HIT
2026-06-18,DAL@GS,Veronica Burton,starters,OVER,5.0,5.7,11.0,0.7,HIT
2026-06-18,DAL@GS,Kiah Stokes,bench,OVER,4.0,4.6,2.0,0.6,MISS
2026-06-18,DAL@GS,Kaila Charles,bench,OVER,4.0,5.4,6.0,1.4,HIT
2026-06-18,DAL@GS,Cecilia Zandalasini,bench,OVER,5.0,5.7,2.0,0.7,MISS
2026-06-18,DAL@GS,Kaitlyn Chen,bench,OVER,4.0,4.6,15.0,0.6,HIT
2026-06-18,DAL@GS,Laeticia Amihere,bench,OVER,4.0,4.7,0.0,0.7,MISS
2026-06-18,LV@PHX,A'ja Wilson,starters,OVER,10.0,11.8,33.0,1.8,HIT
2026-06-18,LV@PHX,Jewell Loyd,starters,OVER,8.0,9.6,0.0,1.6,MISS
2026-06-18,LV@PHX,Jackie Young,starters,OVER,7.0,8.9,20.0,1.9,HIT
2026-06-18,LV@PHX,Chelsea Gray,starters,OVER,7.0,8.0,5.0,1.0,MISS
2026-06-18,LV@PHX,NaLyssa Smith,starters,OVER,6.0,7.8,21.0,1.8,HIT
2026-06-18,LV@PHX,Brianna Turner,bench,OVER,4.0,4.9,2.0,0.9,MISS
2026-06-18,LV@PHX,Cheyenne Parker-Tyus,bench,OVER,5.0,6.8,2.0,1.8,MISS
2026-06-18,LV@PHX,Stephanie Talbot,bench,OVER,4.0,5.0,3.0,1.0,MISS
2026-06-18,LV@PHX,Kierstan Bell,bench,OVER,3.0,4.5,0.0,1.5,MISS
2026-06-18,LV@PHX,Alyssa Thomas,starters,OVER,7.0,8.3,10.0,1.3,HIT
2026-06-18,LV@PHX,DeWanna Bonner,starters,OVER,7.0,9.0,10.0,2.0,HIT
2026-06-18,LV@PHX,Kahleah Copper,starters,OVER,7.0,8.5,26.0,1.5,HIT
2026-06-18,LV@PHX,Monique Akoa Makani,starters,OVER,5.0,6.5,4.0,1.5,MISS
2026-06-18,LV@PHX,Jovana Nogic,starters,OVER,6.0,7.4,12.0,1.4,HIT
2026-06-18,LV@PHX,Noemie Brochant,bench,OVER,4.0,5.5,4.0,1.5,MISS
2026-06-18,LV@PHX,Natasha Mack,bench,OVER,4.0,5.3,0.0,1.3,MISS
2026-06-18,LV@PHX,Lexi Held,bench,OVER,4.0,5.2,7.0,1.2,HIT
2026-06-18,LV@PHX,Kyara Linskens,bench,OVER,3.0,4.5,3.0,1.5,MISS
2026-06-18,LV@PHX,Valeriane Ayayi,bench,OVER,3.0,4.3,0.0,1.3,MISS
2026-06-16,TOR@IND,Brittney Sykes,starters,OVER,7.0,8.3,11.0,1.3,HIT
2026-06-16,TOR@IND,Marina Mabrey,starters,OVER,7.0,8.3,18.0,1.3,HIT
2026-06-16,TOR@IND,Julie Allemand,starters,OVER,4.0,5.5,0.0,1.5,MISS
2026-06-16,TOR@IND,Kia Nurse,starters,OVER,5.0,6.7,10.0,1.7,HIT
2026-06-16,TOR@IND,Laura Juskaite,starters,OVER,5.0,6.7,19.0,1.7,HIT
2026-06-16,TOR@IND,Maria Conde,bench,OVER,5.0,6.1,12.0,1.1,HIT
2026-06-16,TOR@IND,Isabelle Harrison,bench,OVER,5.0,6.4,11.0,1.4,HIT
2026-06-16,TOR@IND,Temi Fagbenle,bench,OVER,4.0,5.2,3.0,1.2,MISS
2026-06-16,TOR@IND,Teonni Key,bench,OVER,3.0,4.1,2.0,1.1,MISS
2026-06-16,TOR@IND,Tima Pouye,bench,OVER,3.0,4.0,5.0,1.0,HIT
2026-06-16,TOR@IND,Caitlin Clark,starters,OVER,9.0,10.7,21.0,1.7,HIT
2026-06-16,TOR@IND,Aliyah Boston,starters,OVER,8.0,9.1,18.0,1.1,HIT
2026-06-16,TOR@IND,Kelsey Mitchell,starters,OVER,8.0,10.2,27.0,2.2,HIT
2026-06-16,TOR@IND,Sophie Cunningham,starters,OVER,5.0,6.4,24.0,1.4,HIT
2026-06-16,TOR@IND,Lexie Hull,starters,OVER,4.0,5.5,6.0,1.5,HIT
2026-06-16,TOR@IND,Monique Billings,bench,OVER,5.0,5.8,5.0,0.8,MISS
2026-06-16,TOR@IND,Myisha Hines-Allen,bench,OVER,5.0,6.3,0.0,1.3,MISS
2026-06-16,TOR@IND,Damiris Dantas,bench,OVER,5.0,6.0,4.0,1.0,MISS
2026-06-16,TOR@IND,Raven Johnson,bench,OVER,4.0,5.0,6.0,1.0,HIT
2026-06-16,TOR@IND,Grace VanSlooten,bench,OVER,4.0,4.6,0.0,0.6,MISS
2026-06-16,TOR@IND,Makayla Timpson,bench,OVER,3.0,4.4,2.0,1.4,MISS
2026-06-23,CHI@CON,Skylar Diggins,starters,OVER,8.0,9.7,3.0,1.7,MISS
2026-06-23,CHI@CON,Kamilla Cardoso,starters,OVER,7.0,8.1,16.0,1.1,HIT
2026-06-23,CHI@CON,Natasha Cloud,starters,OVER,5.0,6.8,4.0,1.8,MISS
2026-06-23,CHI@CON,Gabriela Jaquez,starters,OVER,6.0,7.5,5.0,1.5,MISS
2026-06-23,CHI@CON,Elizabeth Williams,starters,OVER,5.0,6.7,2.0,1.7,MISS
